"","subject","trial_index","rt","trial_type","stim_type","cue","top_opt","bottom_opt","responses","variable_type"
"73","78b25d8502de8c05d6d70a492e1451248523fb71beae286914fcecd4e8121fd5",5,80255.7850000012,"survey-multi-choice","triad","núi","băng","vách đá","vách đá",NA
"74","78b25d8502de8c05d6d70a492e1451248523fb71beae286914fcecd4e8121fd5",5,80255.7850000012,"survey-multi-choice","triad","bò","cỏ","gà","cỏ",NA
"75","78b25d8502de8c05d6d70a492e1451248523fb71beae286914fcecd4e8121fd5",5,80255.7850000012,"survey-multi-choice","triad","tàu hoả","xe buýt","đường ray","đường ray",NA
"76","78b25d8502de8c05d6d70a492e1451248523fb71beae286914fcecd4e8121fd5",5,80255.7850000012,"survey-multi-choice","filler","hoàng hôn","đêm","ngày","đêm",NA
"77","78b25d8502de8c05d6d70a492e1451248523fb71beae286914fcecd4e8121fd5",5,80255.7850000012,"survey-multi-choice","triad","cửa ra vào","chìa khoá","cửa sổ","chìa khoá",NA
"78","78b25d8502de8c05d6d70a492e1451248523fb71beae286914fcecd4e8121fd5",5,80255.7850000012,"survey-multi-choice","triad","giường","gối","ghế bành","gối",NA
"79","78b25d8502de8c05d6d70a492e1451248523fb71beae286914fcecd4e8121fd5",5,80255.7850000012,"survey-multi-choice","filler","khuỷu tay","mắt cá","đốt ngón tay","mắt cá",NA
"80","78b25d8502de8c05d6d70a492e1451248523fb71beae286914fcecd4e8121fd5",5,80255.7850000012,"survey-multi-choice","filler","khán giả","khách hàng","bệnh nhân","khách hàng",NA
"81","78b25d8502de8c05d6d70a492e1451248523fb71beae286914fcecd4e8121fd5",5,80255.7850000012,"survey-multi-choice","filler","thô","nhọn","cứng","cứng",NA
"82","78b25d8502de8c05d6d70a492e1451248523fb71beae286914fcecd4e8121fd5",5,80255.7850000012,"survey-multi-choice","triad","đại học","nhà trường","giáo sư","giáo sư",NA
"83","78b25d8502de8c05d6d70a492e1451248523fb71beae286914fcecd4e8121fd5",5,80255.7850000012,"survey-multi-choice","attention check","Chọn quả địa cầu","bản đồ","quả địa cầu","quả địa cầu",NA
"84","78b25d8502de8c05d6d70a492e1451248523fb71beae286914fcecd4e8121fd5",5,80255.7850000012,"survey-multi-choice","triad","ủng","bàn chân","dép","bàn chân",NA
"85","78b25d8502de8c05d6d70a492e1451248523fb71beae286914fcecd4e8121fd5",5,80255.7850000012,"survey-multi-choice","triad","ghế","bàn","ghế đẩu","bàn",NA
"86","78b25d8502de8c05d6d70a492e1451248523fb71beae286914fcecd4e8121fd5",5,80255.7850000012,"survey-multi-choice","filler","thứ tư","chủ nhật","thứ bảy","thứ bảy",NA
"87","78b25d8502de8c05d6d70a492e1451248523fb71beae286914fcecd4e8121fd5",6,71728.8050000025,"survey-multi-choice","filler","phù thuỷ","tiên","nhà ảo thuật","tiên",NA
"88","78b25d8502de8c05d6d70a492e1451248523fb71beae286914fcecd4e8121fd5",6,71728.8050000025,"survey-multi-choice","filler","cẩm thạch","bê tông","xi măng","bê tông",NA
"89","78b25d8502de8c05d6d70a492e1451248523fb71beae286914fcecd4e8121fd5",6,71728.8050000025,"survey-multi-choice","triad","xương rồng","bụi rậm","cát","cát",NA
"90","78b25d8502de8c05d6d70a492e1451248523fb71beae286914fcecd4e8121fd5",6,71728.8050000025,"survey-multi-choice","triad","bóng","đứa trẻ","xúc xắc","đứa trẻ",NA
"91","78b25d8502de8c05d6d70a492e1451248523fb71beae286914fcecd4e8121fd5",6,71728.8050000025,"survey-multi-choice","filler","ống nước","máy bơm","cống","máy bơm",NA
"92","78b25d8502de8c05d6d70a492e1451248523fb71beae286914fcecd4e8121fd5",6,71728.8050000025,"survey-multi-choice","filler","đen","trắng","xanh dương","trắng",NA
"93","78b25d8502de8c05d6d70a492e1451248523fb71beae286914fcecd4e8121fd5",6,71728.8050000025,"survey-multi-choice","triad","muỗng","nĩa","đường","nĩa",NA
"94","78b25d8502de8c05d6d70a492e1451248523fb71beae286914fcecd4e8121fd5",6,71728.8050000025,"survey-multi-choice","filler","cầu vồng","mặt trời","đám mây","mặt trời",NA
"95","78b25d8502de8c05d6d70a492e1451248523fb71beae286914fcecd4e8121fd5",6,71728.8050000025,"survey-multi-choice","filler","mõm","đuôi","móng","đuôi",NA
"96","78b25d8502de8c05d6d70a492e1451248523fb71beae286914fcecd4e8121fd5",6,71728.8050000025,"survey-multi-choice","triad","chó","xương","mèo","mèo",NA
