Cue_renamed,Cue,Tax.match,Theme.match,tax.frequency,theme.frequency,Tax.cosine_dist,Theme.cosine_dist,Tax.cosine_sim,Theme.cosine_sim
grass,grass,leaf,horse,80,94,0.5870036780834198,0.6938715279102325,0.4129963219165802,0.30612847208976746
crayon,crayon,paintbrush,drawing,1,66,0.447256863117218,0.5082983672618866,0.552743136882782,0.4917016327381134
crown,crown,hat,queen,102,226,0.646090567111969,0.5502876937389374,0.353909432888031,0.4497123062610626
cup,cup,saucer,coffee,289,8536,0.5017729103565216,0.43452954292297363,0.4982270896434784,0.5654704570770264
teacher,teacher,policeman,desk,22,264,0.6087147891521454,0.7472875416278839,0.3912852108478546,0.2527124583721161
door,door,window,key,2413,1715,0.48480117321014404,0.7204177677631378,0.515198826789856,0.2795822322368622
house,house,hut,garden,63,1885,0.5412585139274597,0.4981546401977539,0.4587414860725403,0.5018453598022461
piano,piano,flute,song,69,249,0.3610696792602539,0.6105710864067078,0.6389303207397461,0.38942891359329224
trumpet,trumpet,violin,orchestra,50,25,0.4101131558418274,0.48031389713287354,0.5898868441581726,0.5196861028671265
frog,frog,turtle,pond,25,98,0.3660411834716797,0.5589319467544556,0.6339588165283203,0.44106805324554443
lilypad,lilypad,rose,pond,0,0,0.7983651012182236,0.5954745411872864,0.20163489878177643,0.4045254588127136
dust,dust,ash,broom,142,63,0.5192232131958008,0.6159443259239197,0.4807767868041992,0.3840556740760803
elephant,elephant,giraffe,zoo,47,93,0.37240564823150635,0.5119127035140991,0.6275943517684937,0.4880872964859009
ring,ring,necklace,hand,174,992,0.515424907207489,0.7819782346487045,0.484575092792511,0.21802176535129547
hand,hand,foot,bracelet,1297,71,0.6550562977790833,0.7848381549119949,0.34494370222091675,0.21516184508800507
pencil,pencil,pen,eraser,304,179,0.3323749899864197,0.3232823610305786,0.6676250100135803,0.6767176389694214
pen,pen,pencil,paper,304,1465,0.3323749899864197,0.5114083290100098,0.6676250100135803,0.48859167098999023
net,net,rope,fish,37,367,0.7891151756048203,0.7921289354562759,0.21088482439517975,0.20787106454372406
lake,lake,stream,fish,229,898,0.6424435079097748,0.5674564838409424,0.3575564920902252,0.4325435161590576
ocean2,ocean,stream,boat,89,280,0.7017897069454193,0.6033892929553986,0.2982102930545807,0.39661070704460144
flower,flower,bush,vase,33,95,0.6559319794178009,0.4060205817222595,0.3440680205821991,0.5939794182777405
can,can,bottle,straw,175,19,0.893379807472229,0.8907368555665016,0.106620192527771,0.10926314443349838
hammer,hammer,saw,nail,147,283,0.8402397781610489,0.4724893569946289,0.1597602218389511,0.5275106430053711
hat,hat,crown,head,102,1391,0.646090567111969,0.6258984208106995,0.353909432888031,0.37410157918930054
helmet,helmet,cap,motorcycle,48,208,0.5517859756946564,0.4653306007385254,0.44821402430534363,0.5346693992614746
soccer,soccer,tennis,goal,298,147,0.3651394844055176,0.7780093848705292,0.6348605155944824,0.22199061512947083
horse,horse,donkey,saddle,97,444,0.33863818645477295,0.41294437646865845,0.661361813545227,0.5870556235313416
school,school,church,student,2249,11386,0.5606468915939331,0.3804183602333069,0.4393531084060669,0.6195816397666931
